new_colonynumber,sample_ID,SGD_number,site,salinity,date,P_R,umol.cm2.hr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,temp_C,new_pH,TA_initial,log_silicate,log_silicate2
13,Cabral_Col5_Dil1_Dark,0,Cabral,36.6,6/10/23,R,0.4392357337060637,0.05,3.38,0.16,0.52,27.11,7.966742367,NA,1.4770487243883548,2.181672934217266
14,Cabral_Col6_Dil1_Dark,0,Cabral,36.6,6/10/23,R,0.452784765878453,0.05,3.38,0.16,0.52,27.11,7.966742367,NA,1.4770487243883548,2.181672934217266
15,Cabral_Col7_Dil1_Dark,0,Cabral,36.5,6/11/23,R,0.447500502248927,0.03,4.24,0.54,21.41,27.436,8.012209319,NA,1.6563214983329508,2.7434009058399114
16,Cabral_Col8_Dil1_Dark,0,Cabral,36.5,6/11/23,R,0.34512048900419734,0.03,4.24,0.54,21.41,27.436,8.012209319,NA,1.6563214983329508,2.7434009058399114
18,Cabral_Col10_Dil1_Dark,0,Cabral,36.3,6/12/23,R,0.3792520449350866,0.03,2.58,0.23,0.16,28.172,7.976166127,NA,1.275362800412609,1.6265502726762922
17,Cabral_Col9_Dil1_Dark,0,Cabral,36.3,6/12/23,R,0.3318813144453079,0.03,2.58,0.23,0.16,28.172,7.976166127,NA,1.275362800412609,1.6265502726762922
1,Varari_Col1_Dil1_Dark,0,Varari,37.3,6/17/23,R,0.3716750074056625,0.03,4.88,2.52,4.96,27.714,7.994816177,NA,1.7715567619105355,3.1384133606709415
2,Varari_Col2_Dil1_Dark,0,Varari,37.3,6/17/23,R,0.37644140958498,0.03,4.88,2.52,4.96,27.714,7.994816177,NA,1.7715567619105355,3.1384133606709415
3,Varari_Col3_Dil1_Dark,0,Varari,37.3,6/17/23,R,0.30978977926478984,0.03,4.88,2.52,4.96,27.714,7.994816177,NA,1.7715567619105355,3.1384133606709415
4,Varari_Col4_Dil1_Dark,0,Varari,36.4,6/18/23,R,0.3558666618056547,0.05,3.63,0.99,1.49,28.695,8.012340938,NA,1.5325568680981427,2.348730553954788
6,Varari_Col6_Dil1_Dark,0,Varari,36.4,6/21/23,R,0.32704712467590746,0.1,2.27,0.48,6.9,29.092,8.00330754,NA,1.184789984909162,1.4037273083410526
7,Varari_Col7_Dil1_Dark,0,Varari,36.4,6/22/23,R,0.27805345905491186,0.03,2.45,0.6,4.44,28.503,8.003403586,NA,1.2383742310432684,1.5335707361120063
8,Varari_Col8_Dil1_Dark,0,Varari,36.4,6/22/23,R,0.25601928412065744,0.03,2.45,0.6,4.44,28.503,8.003403586,NA,1.2383742310432684,1.5335707361120063
13,Cabral_Col5_Dil2_Dark,0.01,Cabral,36.5,6/10/23,R,0.4804914662184873,0.05,3.49,1.04,0.57,27.224,7.969949566,NA,1.501852701754163,2.2555615377662788
14,Cabral_Col6_Dil2_Dark,0.01,Cabral,36.5,6/10/23,R,0.49188437196096735,0.05,3.49,1.04,0.57,27.224,7.969949566,NA,1.501852701754163,2.2555615377662788
15,Cabral_Col7_Dil2_Dark,0.01,Cabral,36.6,6/11/23,R,0.3278577674109762,0.03,3.04,1.02,17.21,27.345,8.008691364,NA,1.3962446919730587,1.9494992398629414
16,Cabral_Col8_Dil2_Dark,0.01,Cabral,36.6,6/11/23,R,0.3802771990544976,0.03,3.04,1.02,17.21,27.345,8.008691364,NA,1.3962446919730587,1.9494992398629414
18,Cabral_Col10_Dil2_Dark,0.01,Cabral,36.6,6/12/23,R,0.45083372008725026,0.03,2.98,0.07,<0.02,27.982,7.991198619,NA,1.3812818192963463,1.9079394643186243
17,Cabral_Col9_Dil2_Dark,0.01,Cabral,36.6,6/12/23,R,0.3244900564170106,0.03,2.98,0.07,<0.02,27.982,7.991198619,NA,1.3812818192963463,1.9079394643186243
1,Varari_Col1_Dil2_Dark,0.01,Varari,37.4,6/17/23,R,0.3771246283654781,0.06,4.51,4.67,4.07,27.764,8.021108644,NA,1.706564623164823,2.9123628130376944
2,Varari_Col2_Dil2_Dark,0.01,Varari,37.4,6/17/23,R,0.2640887345546792,0.06,4.51,4.67,4.07,27.764,8.021108644,NA,1.706564623164823,2.9123628130376944
3,Varari_Col3_Dil2_Dark,0.01,Varari,37.4,6/17/23,R,0.29518977200643637,0.06,4.51,4.67,4.07,27.764,8.021108644,NA,1.706564623164823,2.9123628130376944
4,Varari_Col4_Dil2_Dark,0.01,Varari,36.7,6/18/23,R,0.47628435801735974,0.07,3.65,3.26,3.59,28.644,7.926842749,NA,1.536867219599265,2.3619608506787753
5,Varari_Col5_Dil2_Dark,0.01,Varari,36.4,6/21/23,R,0.3380890346171833,0.04,1.78,0.52,1.77,29.187,8.025282823,NA,1.0224509277025458,1.0454058995597963
6,Varari_Col6_Dil2_Dark,0.01,Varari,36.4,6/21/23,R,0.3476035964269326,0.04,1.78,0.52,1.77,29.187,8.025282823,NA,1.0224509277025458,1.0454058995597963
7,Varari_Col7_Dil2_Dark,0.01,Varari,36.4,6/22/23,R,0.2954222054234352,0.06,2.55,0.72,1.64,27.7,7.981415001,NA,1.2669476034873244,1.6051562299822746
8,Varari_Col8_Dil2_Dark,0.01,Varari,36.4,6/22/23,R,0.26749786639925877,0.06,2.55,0.72,1.64,27.7,7.981415001,NA,1.2669476034873244,1.6051562299822746
13,Cabral_Col5_Dil3_Dark,0.03,Cabral,36.6,6/10/23,R,0.375368742436386,0.04,4.11,0.28,0.7,26.984,7.998755982,NA,1.631199404215613,2.660811496313371
14,Cabral_Col6_Dil3_Dark,0.03,Cabral,36.6,6/10/23,R,0.3077109352258519,0.04,4.11,0.28,0.7,26.984,7.998755982,NA,1.631199404215613,2.660811496313371
15,Cabral_Col7_Dil3_Dark,0.03,Cabral,36.5,6/11/23,R,0.29068530505035656,0.04,5.16,1.78,2.98,27.68,8.000333893,NA,1.8180767775454285,3.3054031690499697
16,Cabral_Col8_Dil3_Dark,0.03,Cabral,36.5,6/11/23,R,0.29133004019821607,0.04,5.16,1.78,2.98,27.68,8.000333893,NA,1.8180767775454285,3.3054031690499697
18,Cabral_Col10_Dil3_Dark,0.03,Cabral,36.4,6/12/23,R,0.19509422810839444,0.07,3.15,0.8,6.67,28.395,7.963168175,NA,1.423108334242607,2.0252373309907674
17,Cabral_Col9_Dil3_Dark,0.03,Cabral,36.4,6/12/23,R,0.2921209943448901,0.07,3.15,0.8,6.67,28.395,7.963168175,NA,1.423108334242607,2.0252373309907674
1,Varari_Col1_Dil3_Dark,0.03,Varari,37.4,6/17/23,R,0.256530264757082,0.07,4.53,3.03,4.95,27.81,8.002025445,NA,1.7101878155342434,2.924742364401787
2,Varari_Col2_Dil3_Dark,0.03,Varari,37.4,6/17/23,R,0.23047711291978012,0.07,4.53,3.03,4.95,27.81,8.002025445,NA,1.7101878155342434,2.924742364401787
3,Varari_Col3_Dil3_Dark,0.03,Varari,37.4,6/17/23,R,0.21520111822957233,0.07,4.53,3.03,4.95,27.81,8.002025445,NA,1.7101878155342434,2.924742364401787
4,Varari_Col4_Dil3_Dark,0.03,Varari,36.7,6/18/23,R,0.3297051294122187,0.03,3.14,2.63,0.52,28.724,7.974131193,NA,1.420695787837223,2.018376521578428
